time,contents
['2017-10-31 06:27:08'],"['客服的解答与服务太过于敷衍', '京东的管理太差了', '非常不满意的一次购物']"
['2017-11-01 07:18:52'],"['刚买完就降价', '不明白', '差评']"
['2019-04-13 14:08:24'],"['差评', '刚买完就降价']"
['2019-05-17 11:11:49'],"['刚买了', '天就降价了']"
['2018-03-21 09:35:53'],"['电池用一天', '自动掉线好像被骗的感觉']"
['2019-08-07 14:45:56'],['很差很差很差很差']
['2019-09-09 18:28:39'],"['京东太垃圾', '以后都不会考虑了']"
['2018-09-16 20:22:12'],"['垃圾垃圾', '每天跑了', '公里', '给我显示', '公里', '必须差评']"
['2017-10-28 08:33:56'],['通话非常不清晰']
['2019-06-01 19:30:28'],"['刚买一个星期就降价', '太不靠谱了']"
['2018-07-12 21:31:00'],"['客服人员相当不专业', '对产品一点不都熟悉性能']"
['2018-10-03 10:13:08'],"['差', '超级差', '还没有用一个月就坏了']"
['2018-09-11 16:56:13'],"['功能太少', '价格太贵', '物流包装太差劲', '收到都坏了']"
['2019-06-18 12:40:40'],"['才买了几天就降价', '还不能保价', '什么鬼']"
['2019-04-14 20:07:28'],"['刚买不到一个月就掉价', '保价还不成功']"
['2019-04-02 23:40:16'],"['带进耳朵很容易掉', '设计有问题']"
['2019-05-15 12:26:08'],"['刚买了两天就从', '降价到', '神坑']"
['2018-11-11 17:11:56'],"['差差差评', '刚买了就降价', '还有功能不能用']"
['2018-03-16 19:58:51'],"['屏有刮痕', '华为品质有侍考证', '失望', '大国品牌失信']"
['2018-12-06 14:05:18'],"['很一般', '不好塞耳朵里', '换耳塞特别难']"
['2019-08-14 22:08:58'],"['一般般', '客服直接不带理人的', '差评']"
['2019-08-07 22:16:00'],"['以前觉得京东快递都是最好的', '第一次觉得物流这么差']"
['2019-05-28 12:20:46'],"['服务意识一般差', '产品质量很差', '有水货嫌疑']"
['2018-03-05 18:05:00'],"['不好用耳机带耳朵上太费劲了一点都不好带', '用的憋屈特来评价']"
['2019-01-08 17:11:49'],"['非常差的购买体检', '购买后就降价了', '而且差好多']"
['2019-10-01 13:50:38'],"['垃圾', '螺丝基本都拆一下就不行了']"
['2018-11-20 08:27:35'],"['早上还没起床就一百多步了很', '品牌的让我很失望']"
